,ts_code,signal_count,win_rate%,major_drawback%,avg%
0,000001.SZ,1,100.0,0.0,23.28
1,000002.SZ,16,50.0,-12.04,1.23
2,000063.SZ,15,46.67,-23.62,-6.06
3,000066.SZ,8,37.5,-26.62,-12.02
4,000069.SZ,13,7.69,-31.21,-17.49
5,000100.SZ,3,0.0,-10.88,-7.46
6,000157.SZ,5,0.0,-9.37,-5.67
7,000166.SZ,16,0.0,-29.28,-12.27
8,000301.SZ,19,0.0,-40.34,-20.47
9,000333.SZ,25,12.0,-28.38,-16.26
10,000338.SZ,6,16.67,-30.2,-5.37
11,000408.SZ,24,12.5,-20.8,-11.93
12,000425.SZ,14,92.86,-1.61,5.33
13,000538.SZ,10,0.0,-44.01,-18.47
14,000568.SZ,26,96.15,-1.24,8.49
15,000596.SZ,19,94.74,0.0,33.02
16,000625.SZ,6,33.33,-22.68,-2.47
17,000651.SZ,19,73.68,-14.23,0.52
18,000661.SZ,14,64.29,-34.66,-5.16
19,000703.SZ,5,0.0,-28.91,-24.74
20,000708.SZ,32,3.12,-21.57,-8.65
21,000725.SZ,1,100.0,0.0,4.25
22,000768.SZ,10,0.0,-35.69,-16.25
23,000776.SZ,21,9.52,-32.06,-13.93
24,000786.SZ,29,31.03,-21.29,-9.07
25,000792.SZ,24,0.0,-30.83,-22.02
26,000800.SZ,12,16.67,-16.9,-9.88
27,000858.SZ,9,55.56,-17.75,-0.89
28,000876.SZ,32,0.0,-22.18,-15.93
29,000877.SZ,7,0.0,-43.09,-39.89
30,000895.SZ,36,2.78,-20.03,-11.1
31,000938.SZ,16,50.0,-11.74,8.28
32,000963.SZ,33,100.0,0.0,26.37
33,000977.SZ,11,9.09,-28.9,-6.27
34,001289.SZ,27,7.41,-30.69,-15.52
35,001979.SZ,19,89.47,-5.01,13.36
36,002001.SZ,26,0.0,-43.19,-31.74
37,002007.SZ,12,83.33,-21.13,6.49
38,002008.SZ,10,0.0,-46.67,-33.77
39,002027.SZ,24,58.33,-17.46,0.21
40,002032.SZ,24,20.83,-16.23,-2.65
41,002049.SZ,22,0.0,-42.87,-39.12
42,002050.SZ,13,38.46,-17.82,5.28
43,002064.SZ,5,40.0,-2.16,0.17
44,002074.SZ,7,0.0,-47.1,-25.64
45,002120.SZ,30,0.0,-34.91,-25.41
46,002129.SZ,19,0.0,-24.95,-9.45
47,002142.SZ,22,13.64,-13.37,-7.19
48,002179.SZ,4,0.0,-44.48,-25.58
49,002202.SZ,2,0.0,-25.72,-18.72
50,002230.SZ,11,0.0,-22.81,-19.37
51,002236.SZ,4,0.0,-52.64,-51.4
52,002241.SZ,7,0.0,-63.89,-53.89
53,002252.SZ,17,76.47,-8.83,5.17
54,002271.SZ,28,17.86,-29.59,-15.41
55,002304.SZ,23,78.26,-6.15,7.14
56,002311.SZ,31,54.84,-13.56,-0.61
57,002352.SZ,23,56.52,-13.87,5.15
58,002371.SZ,21,0.0,-25.8,-19.29
59,002410.SZ,22,63.64,-10.92,9.59
60,002414.SZ,9,0.0,-56.49,-26.24
61,002415.SZ,7,57.14,-38.78,-7.78
62,002459.SZ,17,5.88,-32.4,-20.86
63,002460.SZ,11,0.0,-59.3,-51.29
64,002466.SZ,21,9.52,-31.3,-14.65
65,002475.SZ,17,0.0,-36.44,-18.06
66,002493.SZ,14,0.0,-38.97,-28.77
67,002555.SZ,19,10.53,-20.48,-10.71
68,002568.SZ,6,100.0,0.0,47.72
69,002594.SZ,6,33.33,-16.38,0.78
70,002600.SZ,12,0.0,-34.13,-12.67
71,002601.SZ,6,33.33,-9.87,-0.32
72,002602.SZ,0,0.0,0.0,
73,002607.SZ,8,25.0,-27.42,-8.1
74,002648.SZ,14,0.0,-64.76,-59.94
75,002709.SZ,6,16.67,-65.8,-44.07
76,002714.SZ,24,0.0,-17.9,-12.99
77,002736.SZ,12,25.0,-21.43,-10.54
78,002791.SZ,16,43.75,-38.19,-9.42
79,002812.SZ,20,0.0,-44.12,-39.24
80,002821.SZ,8,0.0,-62.31,-53.65
81,002841.SZ,23,0.0,-29.97,-18.17
82,002916.SZ,6,0.0,-36.58,-31.8
83,002920.SZ,16,31.25,-20.48,-4.23
84,002938.SZ,13,0.0,-31.17,-13.8
85,003816.SZ,19,0.0,-9.83,-5.59
86,300003.SZ,9,55.56,-7.96,7.02
87,300014.SZ,17,5.88,-29.98,-9.69
88,300015.SZ,7,57.14,-12.99,1.33
89,300033.SZ,11,54.55,-16.45,7.63
90,300059.SZ,12,58.33,-43.87,-6.96
91,300122.SZ,16,75.0,-23.33,3.77
92,300124.SZ,27,59.26,-7.48,2.84
93,300142.SZ,14,0.0,-41.59,-22.59
94,300207.SZ,20,0.0,-49.54,-28.68
95,300223.SZ,17,0.0,-46.93,-25.4
96,300274.SZ,13,92.31,-5.97,11.53
97,300316.SZ,23,26.09,-14.73,-3.07
98,300347.SZ,16,100.0,0.0,10.64
99,300408.SZ,11,72.73,-27.7,1.69
100,300413.SZ,8,50.0,-31.3,0.4
101,300433.SZ,14,14.29,-55.65,-16.38
102,300450.SZ,6,0.0,-34.24,-29.29
103,300454.SZ,16,100.0,0.0,16.05
104,300496.SZ,14,0.0,-27.71,-13.83
105,300498.SZ,5,40.0,-11.04,-2.65
106,300529.SZ,15,0.0,-32.9,-28.66
107,300595.SZ,8,0.0,-29.86,-20.33
108,300601.SZ,1,100.0,0.0,6.62
109,300628.SZ,31,0.0,-29.17,-22.78
110,300661.SZ,24,4.17,-51.95,-34.77
