,ts_code,trade_date,open,close,low,high,vol,amount,ema_100,score_ema_100,ema_50,score_ema_50,return_ema_100
0,000001.SZ,2020-08-04,13.66,14.04,13.48,14.15,2445663.25,3388510.059,13.88,1,13.79,1,0.0
1,000001.SZ,2020-08-05,13.82,13.76,13.62,13.85,1440203.13,1980352.978,13.87,0,13.79,0,-0.4341534008683104
2,000001.SZ,2020-08-06,13.82,13.9,13.65,13.96,1352510.68,1868047.342,13.87,1,13.79,1,0.5788712011577429
3,000001.SZ,2020-08-07,13.8,13.7,13.62,13.9,988678.37,1356305.781,13.87,0,13.79,0,-0.8683068017366208
4,000001.SZ,2020-08-10,13.67,13.95,13.62,14.02,1587710.35,2208568.316,13.87,1,13.8,1,0.9406657018813241
5,000001.SZ,2020-08-11,13.97,14.13,13.97,14.66,2603307.89,3748036.828,13.88,0,13.81,0,2.2431259044862553
6,000001.SZ,2020-08-12,14.21,14.38,14.15,14.5,1596811.7,2287731.088,13.89,0,13.83,0,4.0520984081042
7,000001.SZ,2020-08-13,14.4,14.18,14.14,14.46,837261.75,1190139.725,13.89,0,13.85,0,2.6049204052098367
8,000001.SZ,2020-08-14,14.1,14.47,14.06,14.51,1103215.82,1578543.607,13.9,0,13.87,0,4.70332850940666
9,000001.SZ,2020-08-17,14.6,15.19,14.55,15.35,3268027.8,4923669.137,13.93,0,13.92,0,9.913169319826332
10,000001.SZ,2020-08-18,15.2,15.15,14.91,15.3,1350261.07,2033477.707,13.95,0,13.97,0,9.623733719247468
11,000001.SZ,2020-08-19,15.11,15.1,14.96,15.35,1420928.11,2154215.097,13.98,0,14.01,0,9.261939218523874
12,000001.SZ,2020-08-20,15.01,14.59,14.53,15.14,1333801.62,1962605.013,13.99,0,14.04,0,5.571635311143267
13,000001.SZ,2020-08-21,14.71,14.45,14.32,14.71,1234517.33,1787278.581,14.0,0,14.05,0,4.558610709117214
14,000001.SZ,2020-08-24,14.5,14.46,14.41,14.71,919448.86,1338031.969,14.01,0,14.07,0,4.6309696092619435
15,000001.SZ,2020-08-25,14.56,14.6,14.46,14.69,748320.22,1090756.854,14.02,0,14.09,0,5.643994211287984
16,000001.SZ,2020-08-26,14.6,14.37,14.28,14.61,734117.72,1057274.169,14.03,0,14.1,0,3.9797395079594713
17,000001.SZ,2020-08-27,14.4,14.46,14.11,14.46,626666.77,895618.648,14.03,0,14.11,0,4.6309696092619435
18,000001.SZ,2020-08-28,14.26,15.13,14.26,15.18,2410400.02,3599035.694,14.06,0,14.15,0,9.479015918958035
19,000001.SZ,2020-08-31,15.3,15.08,14.99,15.68,1797129.54,2760350.322,14.08,0,14.19,0,9.11722141823444
20,000001.SZ,2020-09-01,14.96,15.14,14.88,15.23,813642.58,1228342.741,14.1,0,14.23,0,9.551374819102751
21,000001.SZ,2020-09-02,15.01,15.32,15.01,15.53,1679382.97,2575966.637,14.12,0,14.27,0,10.85383502170767
22,000001.SZ,2020-09-03,15.32,14.9,14.84,15.33,1279841.59,1919266.726,14.14,0,14.3,0,7.814761215629523
23,000001.SZ,2020-09-04,14.73,14.96,14.6,15.06,909889.99,1353550.808,14.15,0,14.32,0,8.248914616497833
24,000001.SZ,2020-09-07,14.88,14.94,14.83,15.24,1031376.81,1551971.38,14.17,0,14.35,0,8.104196816208388
