ts_code,trade_date,open,close,low,high
002001.SZ,20221220,19.01,18.82,18.73,19.11
002001.SZ,20221219,20.06,19.11,19.1,20.18
002001.SZ,20221216,19.85,20.09,19.8,20.3
002001.SZ,20221215,19.86,19.91,19.81,20.01
002001.SZ,20221214,20.36,20.01,19.83,20.36
002001.SZ,20221213,20.51,20.27,20.1,20.6
002001.SZ,20221212,20.01,20.71,20.0,20.99
002001.SZ,20221209,19.85,19.75,19.64,20.02
002001.SZ,20221208,20.09,19.93,19.9,20.2
002001.SZ,20221207,19.75,20.13,19.57,20.2
002001.SZ,20221206,20.1,19.76,19.69,20.13
002001.SZ,20221205,19.9,20.09,19.88,20.29
002001.SZ,20221202,19.85,19.8,19.7,19.98
002001.SZ,20221201,19.87,19.88,19.73,20.1
002001.SZ,20221130,19.79,19.7,19.63,19.98
002001.SZ,20221129,19.78,19.82,19.56,19.92
002001.SZ,20221128,19.84,19.63,19.53,19.97
002001.SZ,20221125,20.0,20.1,19.73,20.2
002001.SZ,20221124,20.09,20.12,19.9,20.25
002001.SZ,20221123,20.51,20.03,19.72,20.6
002001.SZ,20221122,19.66,20.18,19.66,20.45
002001.SZ,20221121,19.5,19.78,19.28,19.88
002001.SZ,20221118,19.46,19.5,19.4,19.82
002001.SZ,20221117,19.3,19.5,19.23,19.63
002001.SZ,20221116,19.8,19.38,19.23,19.92
002001.SZ,20221115,19.55,19.87,19.13,19.89
002001.SZ,20221114,19.27,19.4,19.04,19.64
002001.SZ,20221111,19.6,19.28,19.13,19.65
002001.SZ,20221110,19.1,19.2,19.01,19.26
002001.SZ,20221109,19.18,19.2,19.05,19.26
002001.SZ,20221108,19.48,19.17,18.99,19.48
002001.SZ,20221107,19.4,19.38,19.3,19.6
002001.SZ,20221104,19.4,19.44,19.35,19.87
002001.SZ,20221103,19.09,19.04,18.85,19.12
002001.SZ,20221102,19.16,19.21,19.0,19.4
002001.SZ,20221101,18.0,19.21,18.0,19.3
002001.SZ,20221031,17.68,17.92,17.64,18.1
002001.SZ,20221028,18.37,17.87,17.79,18.37
002001.SZ,20221027,18.15,18.38,17.86,18.63
002001.SZ,20221026,17.88,18.09,17.74,18.64
002001.SZ,20221025,18.25,17.77,17.5,18.3
002001.SZ,20221024,19.02,18.31,18.21,19.12
002001.SZ,20221021,19.73,19.02,18.65,19.78
002001.SZ,20221020,19.83,19.68,19.6,20.08
002001.SZ,20221019,21.8,20.02,19.78,21.89
002001.SZ,20221018,21.91,21.97,21.5,22.14
002001.SZ,20221017,21.8,21.92,21.58,22.28
002001.SZ,20221014,21.3,21.79,21.3,22.2
002001.SZ,20221013,21.1,21.34,20.92,21.58
002001.SZ,20221012,21.33,21.27,20.41,21.33
002001.SZ,20221011,21.45,21.23,21.09,21.63
002001.SZ,20221010,22.1,21.54,21.33,22.1
002001.SZ,20220930,21.8,22.19,21.75,22.68
002001.SZ,20220929,22.03,21.95,21.74,22.38
002001.SZ,20220928,21.65,21.65,21.38,22.16
002001.SZ,20220927,20.81,21.38,20.8,21.45
002001.SZ,20220926,20.67,20.75,20.6,21.18
002001.SZ,20220923,21.18,20.88,20.62,21.31
002001.SZ,20220922,21.13,21.19,21.05,21.55
002001.SZ,20220921,21.14,21.3,20.87,21.5
002001.SZ,20220920,21.65,21.26,21.14,21.72
002001.SZ,20220919,21.7,21.46,21.18,22.08
002001.SZ,20220916,22.6,21.81,21.8,22.7
002001.SZ,20220915,23.38,22.7,22.47,23.67
002001.SZ,20220914,23.5,23.22,23.12,23.84
002001.SZ,20220913,24.03,23.98,23.51,24.08
002001.SZ,20220909,23.91,24.13,23.6,24.23
002001.SZ,20220908,24.37,23.91,23.66,24.62
002001.SZ,20220907,24.63,24.67,24.0,25.07
002001.SZ,20220906,22.95,24.67,22.9,24.86
002001.SZ,20220905,22.88,22.85,22.5,23.2
002001.SZ,20220902,22.54,22.08,22.0,22.6
002001.SZ,20220901,22.6,22.42,22.26,22.7
002001.SZ,20220831,23.44,22.47,22.28,23.45
002001.SZ,20220830,23.5,23.51,23.36,24.15
002001.SZ,20220829,23.49,23.66,23.43,24.17
002001.SZ,20220826,24.15,23.92,23.76,24.95
002001.SZ,20220825,24.21,24.18,23.35,24.6
002001.SZ,20220824,24.0,24.1,23.88,25.15
002001.SZ,20220823,22.91,24.23,22.81,25.0
