ts_code,trade_date,open,close,low,high
600887.SH,20221220,31.22,30.5,30.2,31.38
600887.SH,20221219,31.32,31.39,31.26,32.06
600887.SH,20221216,31.17,31.42,31.01,31.5
600887.SH,20221215,31.72,31.36,31.31,31.99
600887.SH,20221214,31.3,31.72,31.18,31.9
600887.SH,20221213,31.52,31.29,31.18,31.55
600887.SH,20221212,31.78,31.75,31.52,31.98
600887.SH,20221209,31.36,31.99,30.95,32.0
600887.SH,20221208,31.6,31.23,31.16,31.68
600887.SH,20221207,31.16,31.58,30.96,31.94
600887.SH,20221206,30.85,31.18,30.57,31.59
600887.SH,20221205,30.43,30.64,30.3,30.97
600887.SH,20221202,29.92,29.74,29.56,30.09
600887.SH,20221201,29.7,29.91,29.52,30.16
600887.SH,20221130,28.98,28.85,28.58,29.11
600887.SH,20221129,28.9,29.11,28.4,29.23
600887.SH,20221128,28.0,28.47,27.69,28.63
600887.SH,20221125,28.4,28.5,28.15,28.56
600887.SH,20221124,28.66,28.48,28.42,28.87
600887.SH,20221123,28.68,28.47,28.43,28.85
600887.SH,20221122,28.86,28.67,28.46,29.18
600887.SH,20221121,28.7,28.74,28.39,28.88
600887.SH,20221118,29.32,29.12,29.0,29.48
600887.SH,20221117,29.2,29.24,28.99,29.56
600887.SH,20221116,29.02,29.2,28.93,29.62
600887.SH,20221115,28.43,29.2,28.38,29.47
600887.SH,20221114,28.99,28.36,28.3,29.13
600887.SH,20221111,28.33,28.42,27.82,28.78
600887.SH,20221110,27.01,27.71,26.95,27.73
600887.SH,20221109,27.39,27.21,27.15,27.58
600887.SH,20221108,27.69,27.36,27.13,27.95
600887.SH,20221107,27.49,27.71,27.22,28.13
600887.SH,20221104,26.53,27.73,26.52,28.2
600887.SH,20221103,26.98,26.64,26.5,27.27
600887.SH,20221102,26.21,27.34,26.1,27.42
600887.SH,20221101,25.59,26.54,25.01,26.6
600887.SH,20221031,25.19,25.24,24.51,25.78
600887.SH,20221028,26.58,25.88,25.88,26.68
600887.SH,20221027,29.29,28.76,28.72,29.45
600887.SH,20221026,29.1,29.1,28.96,29.75
600887.SH,20221025,28.61,29.15,28.6,29.39
600887.SH,20221024,29.48,28.9,28.8,30.09
600887.SH,20221021,30.05,29.94,29.61,30.48
600887.SH,20221020,32.2,30.3,30.26,32.25
600887.SH,20221019,32.69,32.5,32.31,32.94
600887.SH,20221018,33.02,32.77,32.7,33.41
600887.SH,20221017,32.6,33.01,32.52,33.17
600887.SH,20221014,32.52,32.81,32.51,33.05
600887.SH,20221013,32.42,32.56,32.09,32.75
600887.SH,20221012,32.33,32.56,31.63,32.6
600887.SH,20221011,32.63,32.36,32.05,32.63
600887.SH,20221010,32.65,32.3,32.2,33.06
600887.SH,20220930,33.29,32.98,32.93,33.47
600887.SH,20220929,33.26,33.3,33.06,33.85
600887.SH,20220928,33.18,33.26,32.92,33.7
600887.SH,20220927,32.33,33.22,32.24,33.31
600887.SH,20220926,32.66,32.36,32.35,32.7
600887.SH,20220923,31.9,32.45,31.85,32.6
600887.SH,20220922,32.28,32.0,32.0,32.49
600887.SH,20220921,32.41,32.48,32.3,32.71
600887.SH,20220920,32.91,32.66,32.37,33.05
600887.SH,20220919,32.98,32.9,32.53,33.16
600887.SH,20220916,33.55,32.88,32.88,33.69
600887.SH,20220915,33.6,33.69,33.45,34.1
600887.SH,20220914,33.4,33.6,33.35,33.64
600887.SH,20220913,33.75,33.74,33.56,33.97
600887.SH,20220909,33.25,33.7,33.15,33.74
600887.SH,20220908,33.11,33.27,33.11,33.46
600887.SH,20220907,33.48,33.22,33.13,33.62
600887.SH,20220906,33.44,33.63,33.33,33.64
600887.SH,20220905,33.6,33.37,33.08,33.83
600887.SH,20220902,34.6,33.9,33.59,34.82
600887.SH,20220901,35.41,34.55,34.53,35.54
600887.SH,20220831,35.69,35.74,35.02,36.0
600887.SH,20220830,36.12,36.13,35.71,36.28
600887.SH,20220829,36.02,35.95,35.9,36.24
600887.SH,20220826,36.28,36.19,35.9,36.33
600887.SH,20220825,35.16,35.8,35.09,35.87
600887.SH,20220824,35.41,35.16,35.15,35.58
600887.SH,20220823,35.83,35.43,35.4,36.0
600887.SH,20220822,35.66,35.87,35.61,36.08
600887.SH,20220819,35.9,35.78,35.76,36.08
600887.SH,20220818,36.25,36.0,35.95,36.25
600887.SH,20220817,36.44,36.34,36.06,36.5
600887.SH,20220816,36.27,36.31,36.01,36.56
600887.SH,20220815,36.43,36.25,36.22,36.75
600887.SH,20220812,36.48,36.62,36.34,36.7
600887.SH,20220811,36.14,36.5,35.95,36.53
600887.SH,20220810,36.43,35.95,35.85,36.57
600887.SH,20220809,36.34,36.38,36.22,36.63
600887.SH,20220808,36.48,36.34,36.18,36.75
600887.SH,20220805,35.79,36.36,35.5,36.39
600887.SH,20220804,35.33,35.58,35.18,35.68
600887.SH,20220803,35.29,35.16,35.03,35.58
600887.SH,20220802,35.5,35.3,34.86,35.57
600887.SH,20220801,35.83,35.84,35.39,35.97
600887.SH,20220729,36.77,35.83,35.75,36.87
600887.SH,20220728,36.57,36.77,36.43,36.96
600887.SH,20220727,36.5,36.41,36.3,36.73
600887.SH,20220726,36.55,36.58,36.3,36.84
600887.SH,20220725,36.38,36.61,36.12,36.63
600887.SH,20220722,36.12,36.28,36.01,36.45
600887.SH,20220721,36.4,36.12,36.12,36.48
600887.SH,20220720,36.22,36.5,36.16,36.66
600887.SH,20220719,35.86,36.16,35.73,36.2
600887.SH,20220718,35.73,36.05,35.61,36.22
600887.SH,20220715,36.09,35.68,35.67,36.58
600887.SH,20220714,35.96,36.09,35.61,36.2
600887.SH,20220713,36.55,35.96,35.82,36.56
600887.SH,20220712,36.15,36.38,35.91,36.42
600887.SH,20220711,36.34,36.11,35.73,36.34
600887.SH,20220708,36.77,36.34,36.28,36.88
600887.SH,20220707,37.02,36.62,36.56,37.05
600887.SH,20220706,37.42,37.02,36.83,37.62
600887.SH,20220705,37.66,37.38,37.22,37.9
