ts_code,trade_date,open,close,low,high
600919.SH,20221220,7.22,7.12,7.09,7.24
600919.SH,20221219,7.35,7.21,7.17,7.4
600919.SH,20221216,7.27,7.36,7.26,7.39
600919.SH,20221215,7.4,7.3,7.28,7.4
600919.SH,20221214,7.4,7.4,7.33,7.45
600919.SH,20221213,7.33,7.4,7.33,7.43
600919.SH,20221212,7.48,7.34,7.32,7.48
600919.SH,20221209,7.5,7.47,7.42,7.56
600919.SH,20221208,7.4,7.5,7.4,7.54
600919.SH,20221207,7.49,7.42,7.38,7.53
600919.SH,20221206,7.47,7.53,7.4,7.57
600919.SH,20221205,7.34,7.5,7.34,7.51
600919.SH,20221202,7.34,7.31,7.24,7.37
600919.SH,20221201,7.5,7.36,7.34,7.52
600919.SH,20221130,7.46,7.41,7.39,7.57
600919.SH,20221129,7.31,7.49,7.3,7.59
600919.SH,20221128,7.28,7.28,7.16,7.31
600919.SH,20221125,7.22,7.39,7.22,7.43
600919.SH,20221124,7.21,7.24,7.2,7.29
600919.SH,20221123,7.18,7.19,7.17,7.29
600919.SH,20221122,7.02,7.17,7.0,7.23
600919.SH,20221121,7.03,7.02,6.93,7.04
600919.SH,20221118,7.1,7.04,7.03,7.13
600919.SH,20221117,7.06,7.1,7.02,7.12
600919.SH,20221116,7.16,7.11,7.1,7.2
600919.SH,20221115,7.14,7.17,7.09,7.25
600919.SH,20221114,7.2,7.14,7.13,7.29
600919.SH,20221111,6.93,7.14,6.87,7.22
600919.SH,20221110,6.81,6.85,6.75,6.87
600919.SH,20221109,6.86,6.83,6.82,6.91
600919.SH,20221108,6.87,6.84,6.81,6.9
600919.SH,20221107,6.91,6.87,6.81,6.93
600919.SH,20221104,6.8,6.96,6.8,6.99
600919.SH,20221103,6.81,6.81,6.75,6.84
600919.SH,20221102,6.9,6.85,6.8,6.92
600919.SH,20221101,6.92,6.93,6.83,6.95
600919.SH,20221031,7.08,6.92,6.86,7.09
600919.SH,20221028,7.09,7.08,7.02,7.17
600919.SH,20221027,7.07,7.09,7.05,7.15
600919.SH,20221026,7.27,7.05,7.0,7.31
600919.SH,20221025,7.08,7.27,7.07,7.29
600919.SH,20221024,7.39,7.11,7.07,7.39
600919.SH,20221021,7.39,7.37,7.34,7.44
600919.SH,20221020,7.32,7.35,7.28,7.42
600919.SH,20221019,7.35,7.34,7.31,7.42
600919.SH,20221018,7.39,7.36,7.34,7.49
600919.SH,20221017,7.39,7.33,7.3,7.4
600919.SH,20221014,7.38,7.41,7.37,7.55
600919.SH,20221013,7.56,7.32,7.31,7.61
600919.SH,20221012,7.42,7.59,7.37,7.6
600919.SH,20221011,7.48,7.38,7.37,7.53
600919.SH,20221010,7.42,7.5,7.41,7.57
600919.SH,20220930,7.37,7.44,7.37,7.5
600919.SH,20220929,7.54,7.37,7.32,7.56
600919.SH,20220928,7.41,7.5,7.37,7.58
600919.SH,20220927,7.4,7.44,7.28,7.45
600919.SH,20220926,7.41,7.36,7.36,7.51
600919.SH,20220923,7.46,7.44,7.41,7.56
600919.SH,20220922,7.4,7.48,7.39,7.49
600919.SH,20220921,7.37,7.43,7.35,7.54
600919.SH,20220920,7.41,7.37,7.31,7.43
600919.SH,20220919,7.4,7.38,7.31,7.4
600919.SH,20220916,7.49,7.33,7.32,7.52
600919.SH,20220915,7.52,7.49,7.45,7.63
600919.SH,20220914,7.5,7.52,7.48,7.57
600919.SH,20220913,7.64,7.58,7.56,7.68
600919.SH,20220909,7.52,7.62,7.51,7.67
600919.SH,20220908,7.48,7.54,7.44,7.59
600919.SH,20220907,7.44,7.42,7.38,7.49
600919.SH,20220906,7.41,7.44,7.38,7.52
600919.SH,20220905,7.37,7.38,7.26,7.4
600919.SH,20220902,7.28,7.34,7.26,7.41
600919.SH,20220901,7.23,7.25,7.17,7.3
600919.SH,20220831,7.16,7.25,7.13,7.32
600919.SH,20220830,7.1,7.14,7.09,7.2
600919.SH,20220829,7.02,7.01,6.9,7.07
600919.SH,20220826,6.98,7.08,6.94,7.12
600919.SH,20220825,6.82,6.96,6.81,6.98
600919.SH,20220824,6.9,6.81,6.8,6.97
600919.SH,20220823,6.86,6.9,6.78,6.93
600919.SH,20220822,6.88,6.88,6.86,6.98
600919.SH,20220819,6.76,6.91,6.75,6.93
600919.SH,20220818,6.89,6.78,6.75,6.91
600919.SH,20220817,6.84,6.91,6.79,6.93
600919.SH,20220816,6.87,6.83,6.78,6.91
600919.SH,20220815,6.94,6.87,6.84,6.97
600919.SH,20220812,6.91,6.97,6.87,7.01
600919.SH,20220811,6.85,6.95,6.78,6.97
600919.SH,20220810,6.88,6.82,6.79,6.92
600919.SH,20220809,6.98,6.9,6.89,6.99
600919.SH,20220808,6.98,6.95,6.94,7.09
600919.SH,20220805,6.94,7.01,6.86,7.02
600919.SH,20220804,6.98,6.94,6.87,7.01
600919.SH,20220803,7.04,6.94,6.92,7.12
600919.SH,20220802,7.12,7.01,6.96,7.15
600919.SH,20220801,7.17,7.2,7.03,7.25
600919.SH,20220729,7.17,7.2,7.13,7.25
600919.SH,20220728,7.23,7.19,7.17,7.3
600919.SH,20220727,7.34,7.24,7.21,7.34
600919.SH,20220726,7.14,7.34,7.12,7.35
600919.SH,20220725,7.12,7.14,7.07,7.18
600919.SH,20220722,7.12,7.15,7.07,7.2
600919.SH,20220721,7.34,7.09,7.09,7.36
600919.SH,20220720,7.23,7.37,7.2,7.42
600919.SH,20220719,7.13,7.18,7.06,7.27
600919.SH,20220718,7.02,7.1,7.02,7.28
600919.SH,20220715,6.91,6.8,6.8,7.06
600919.SH,20220714,6.93,6.89,6.72,6.95
600919.SH,20220713,7.25,6.96,6.93,7.25
600919.SH,20220712,7.17,7.28,7.14,7.34
600919.SH,20220711,7.06,7.14,7.06,7.24
600919.SH,20220708,7.12,7.03,7.0,7.13
600919.SH,20220707,7.09,7.1,7.04,7.22
600919.SH,20220706,7.18,7.06,7.02,7.2
600919.SH,20220705,7.25,7.19,7.16,7.3
600919.SH,20220704,7.14,7.23,7.11,7.28
600919.SH,20220701,7.11,7.18,7.08,7.24
600919.SH,20220630,7.01,7.12,6.96,7.19
600919.SH,20220629,7.03,6.98,6.96,7.11
600919.SH,20220628,6.78,7.01,6.75,7.02
600919.SH,20220627,6.54,6.79,6.53,6.82
600919.SH,20220624,6.62,6.53,6.5,6.64
600919.SH,20220623,6.63,6.63,6.57,6.66
600919.SH,20220622,6.71,6.61,6.6,6.72
600919.SH,20220621,6.62,6.7,6.59,6.74
600919.SH,20220620,6.66,6.61,6.56,6.71
600919.SH,20220617,6.69,6.7,6.63,6.75
600919.SH,20220616,6.84,6.72,6.69,6.87
600919.SH,20220615,6.81,6.83,6.8,6.98
600919.SH,20220614,6.54,6.78,6.52,6.8
600919.SH,20220613,6.65,6.58,6.49,6.65
600919.SH,20220610,6.7,6.68,6.59,6.72
600919.SH,20220609,6.53,6.65,6.53,6.71
600919.SH,20220608,6.51,6.55,6.48,6.59
600919.SH,20220607,6.31,6.53,6.29,6.57
600919.SH,20220606,6.36,6.33,6.25,6.4
600919.SH,20220602,6.38,6.38,6.36,6.44
600919.SH,20220601,6.45,6.4,6.34,6.45
600919.SH,20220531,6.48,6.42,6.41,6.52
600919.SH,20220530,6.6,6.49,6.44,6.66
600919.SH,20220527,6.51,6.59,6.48,6.68
600919.SH,20220526,6.48,6.5,6.41,6.54
600919.SH,20220525,6.83,6.8,6.77,6.85
600919.SH,20220524,6.94,6.8,6.79,6.97
600919.SH,20220523,7.03,6.92,6.86,7.03
