,ts_code,signal_count,win_rate%,major_drawback%,avg%
0,000001.SZ,15,20.0,-35.09,-20.16
1,000002.SZ,38,21.05,-36.59,-17.74
2,000063.SZ,33,21.21,-30.82,-15.58
3,000066.SZ,36,8.33,-41.29,-27.48
4,000069.SZ,35,2.86,-38.98,-23.83
5,000100.SZ,13,0.0,-54.92,-35.91
6,000157.SZ,10,0.0,-54.24,-24.82
7,000166.SZ,40,0.0,-29.28,-16.6
8,000301.SZ,22,0.0,-50.88,-23.85
9,000333.SZ,30,10.0,-43.98,-19.04
10,000338.SZ,33,3.03,-46.28,-29.84
11,000408.SZ,34,38.24,-20.8,56.85
12,000425.SZ,37,48.65,-21.99,-3.28
13,000538.SZ,24,0.0,-56.11,-37.19
14,000568.SZ,36,88.89,-8.14,8.75
15,000596.SZ,47,100.0,0.0,29.89
16,000625.SZ,31,16.13,-38.51,-20.43
17,000651.SZ,33,42.42,-46.03,-18.01
18,000661.SZ,21,42.86,-60.14,-19.84
19,000703.SZ,23,0.0,-52.4,-38.87
20,000708.SZ,49,4.08,-33.86,-15.17
21,000725.SZ,23,4.35,-45.48,-34.7
22,000768.SZ,31,6.45,-35.69,-14.49
23,000776.SZ,44,15.91,-32.06,-8.34
24,000786.SZ,46,19.57,-41.86,-19.66
25,000792.SZ,24,0.0,-30.83,-22.02
26,000800.SZ,29,6.9,-41.64,-23.95
27,000858.SZ,20,25.0,-35.15,-16.98
28,000876.SZ,43,2.33,-62.22,-16.99
29,000877.SZ,36,0.0,-52.21,-44.31
30,000895.SZ,46,2.17,-52.67,-18.46
31,000938.SZ,29,34.48,-44.33,1.74
32,000963.SZ,45,100.0,0.0,33.17
33,000977.SZ,35,2.86,-28.9,-18.36
34,001289.SZ,27,7.41,-30.69,-15.52
35,001979.SZ,23,82.61,-14.33,13.63
36,002001.SZ,36,0.0,-53.15,-34.53
37,002007.SZ,23,43.48,-58.0,-21.18
38,002008.SZ,37,0.0,-46.67,-34.92
39,002027.SZ,33,42.42,-37.41,-8.72
40,002032.SZ,40,12.5,-34.88,-14.22
41,002049.SZ,34,29.41,-42.87,-21.59
42,002050.SZ,45,40.0,-17.82,1.07
